iter	Passed	Remaining
0	0	765
1	1	720
2	2	692
3	2	687
4	3	685
5	4	688
6	4	697
7	5	692
8	6	685
9	6	678
10	7	672
11	8	668
12	8	663
13	9	659
14	10	659
15	10	674
16	11	674
17	12	674
18	13	671
19	13	667
20	14	664
21	14	661
22	15	659
23	16	657
24	16	653
25	17	651
26	18	653
27	18	654
28	19	658
29	20	656
30	20	655
31	21	655
32	22	651
33	22	650
34	23	646
35	24	645
36	24	648
37	25	656
38	26	654
39	27	651
40	27	650
41	28	647
42	28	644
43	29	642
44	30	638
45	30	635
46	31	633
47	31	631
48	32	630
49	33	628
50	33	628
51	34	626
52	34	624
53	35	622
54	36	620
55	36	618
56	37	616
57	37	615
58	38	613
59	38	610
60	39	608
61	40	608
62	40	606
63	41	605
64	41	603
65	42	602
66	43	601
67	43	599
68	44	598
69	44	596
70	45	596
71	46	594
72	46	593
73	47	591
74	47	590
75	48	593
76	49	592
77	50	591
78	50	589
79	51	588
80	51	586
81	52	584
82	52	580
83	53	579
84	53	578
85	54	577
86	54	576
87	55	575
88	56	574
89	56	573
90	57	572
91	57	571
92	58	570
93	59	568
94	59	567
95	60	566
96	60	565
97	61	563
98	61	562
99	62	561
100	63	561
101	63	560
102	64	559
103	64	558
104	65	557
105	66	557
106	66	555
107	67	555
108	67	554
109	68	553
110	69	553
111	69	552
112	70	551
113	70	550
114	71	549
115	72	548
116	72	547
117	73	546
118	73	544
119	74	544
120	74	543
121	75	541
122	75	540
123	76	539
124	77	539
125	77	539
126	78	537
127	78	537
128	79	536
129	80	536
130	80	535
131	81	534
132	81	533
133	82	532
134	83	532
135	83	531
136	84	530
137	84	529
138	85	528
139	85	528
140	86	527
141	87	526
142	87	525
143	88	524
144	88	524
145	89	523
146	90	522
147	90	522
148	91	521
149	91	520
150	92	520
151	93	519
152	93	518
153	94	517
154	94	517
155	95	517
156	96	516
157	96	516
158	97	516
159	98	515
160	98	514
161	99	513
162	99	513
163	100	512
164	101	512
165	101	512
166	102	511
167	103	511
168	104	511
169	105	514
170	106	513
171	106	513
172	107	512
173	107	512
174	108	511
175	109	511
176	109	509
177	110	508
178	110	507
179	111	507
180	111	506
181	112	505
182	113	504
183	113	504
184	114	503
185	114	502
186	115	501
187	116	501
188	116	500
189	117	499
190	117	498
191	118	498
192	119	497
193	119	496
194	120	496
195	120	495
196	121	494
197	121	493
198	122	492
199	122	491
200	123	490
201	124	490
202	124	489
203	125	488
204	125	487
205	126	487
206	127	486
207	127	486
208	128	485
209	128	485
210	129	484
211	130	483
212	130	482
213	131	481
214	131	480
215	132	480
216	133	479
217	133	478
218	134	478
219	134	477
220	135	476
221	135	475
222	136	475
223	137	474
224	137	473
225	138	473
226	138	472
227	139	471
228	139	471
229	140	470
230	141	469
231	141	469
232	142	468
233	142	467
234	143	466
235	143	466
236	144	465
237	145	464
238	145	463
239	146	463
240	146	462
241	147	462
242	148	461
243	148	460
244	149	459
245	149	458
246	150	457
247	150	457
248	151	456
249	151	455
250	152	454
251	152	454
252	153	453
253	154	452
254	154	451
255	155	451
256	155	450
257	156	449
258	156	448
259	157	447
260	157	446
261	158	446
262	158	445
